index,type,time,value_msat,value_sat,value_msat_total,value_sat_total,action,sender,app,message,podcast,episode,remote_podcast,remote_episode,custom_key,custom_value
2774,boost,"2025-07-02T21:56:44+00:00",33000,33,100000,100,2,"@thedoerfels","Fountain","ChadF+++++++++++++++++++++++++++++++++","Bowl After Bowl","Episode 344 ★ Bowls With Buds ★ ChadF","","","",""
2773,stream,"2025-07-02T17:57:05+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","deathdreams","Don't Feel Bad","",""
2772,stream,"2025-07-02T17:54:09+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","deathdreams","Don't Feel Bad","",""
2771,stream,"2025-07-02T17:53:10+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","deathdreams","Don't Feel Bad","",""
2770,stream,"2025-07-02T17:52:09+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","deathdreams","Don't Feel Bad","",""
2769,stream,"2025-07-02T17:51:11+00:00",3000,3,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","","","",""
2768,stream,"2025-07-02T17:50:14+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Wrath Of Banjo","THE BANJO","",""
2767,stream,"2025-07-02T17:38:59+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Wrath Of Banjo","THE BANJO","",""
2766,stream,"2025-07-02T17:37:58+00:00",3000,3,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","","","",""
2765,stream,"2025-07-02T17:37:01+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Kurtisdrums","Womp Womp Womp Womp","",""
2764,stream,"2025-07-02T17:26:51+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Kurtisdrums","Womp Womp Womp Womp","",""
2763,stream,"2025-07-02T17:25:55+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Kurtisdrums","Womp Womp Womp Womp","",""
2762,stream,"2025-07-02T17:24:54+00:00",3000,3,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","","","",""
2761,stream,"2025-07-02T17:11:19+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Aged Friends & Old Whiskey","Light & Shade","",""
2760,stream,"2025-07-02T16:26:49+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Aged Friends & Old Whiskey","Light & Shade","",""
2759,stream,"2025-07-02T16:25:49+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Aged Friends & Old Whiskey","Light & Shade","",""
2758,stream,"2025-07-02T15:51:11+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Aged Friends & Old Whiskey","Light & Shade","",""
2757,stream,"2025-07-02T15:50:16+00:00",1000,0,100000,100,1,"@jurbed","Fountain","","bitpunk.fm","Cassette Countdown","Aged Friends & Old Whiskey","Light & Shade","",""
139216,sent,"2025-07-03T19:27:49+00:00",24000,24,25000,25,2,"ChadF","LN Beats","","Entire Discography","dancehall","","","",""
139215,sent,"2025-07-03T19:27:41+00:00",1000,0,25000,25,2,"ChadF","LN Beats","","Entire Discography","dancehall","","","",""
139214,sent,"2025-07-03T19:16:37+00:00",24000,24,25000,25,2,"ChadF","LN Beats","","The Satellite Skirmish","Empath Eyes - Apathy","","","",""
139213,sent,"2025-07-03T16:38:48+00:00",96000,96,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139211,sent,"2025-07-03T16:38:43+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139210,sent,"2025-07-03T16:38:34+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139209,sent,"2025-07-03T16:38:33+00:00",1000,0,100000,100,2,"ChadF","LN Beats","","Aged Friends & Old Whiskey","Light & Shade","","","",""
139208,sent,"2025-07-03T16:32:38+00:00",9000,9,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139207,sent,"2025-07-03T16:32:35+00:00",22000,22,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
139206,sent,"2025-07-03T16:32:32+00:00",22000,22,100000,100,2,"ChadF","LN Beats","","V4V Radio","A Musical Rebirth: Introducing V4V Radio","Bloodshot Lies - The Album","My Brother","",""
